district,price,GrossSquareMeters,BuildingAge,NumberFloorsofBuilding,NumberOfRooms,FloorLocation,CreditEligibility,NetSquareMeters,Net_Brut_Oran,Fiyat_m2_Brut,Fiyat_m2_Net
adalar,3100000,160.0,21,3,7,52,1,120.0,0.75,19375.0,25833.333333333332
adalar,1600000,120.0,5,3,4,40,1,100.0,0.8333333333333334,13333.333333333334,16000.0
adalar,3250000,400.0,21,3,25,39,1,370.0,0.925,8125.0,8783.783783783783
adalar,2850000,250.0,21,2,14,47,1,200.0,0.8,11400.0,14250.0
adalar,2200000,125.0,21,3,5,0,1,100.0,0.8,17600.0,22000.0
adalar,885000,75.0,21,3,1,40,1,60.0,0.8,11800.0,14750.0
adalar,3250000,180.0,21,3,7,12,1,170.0,0.9444444444444444,18055.555555555555,19117.647058823528
arnavutkoy,515000,100.0,2,4,4,39,1,90.0,0.9,5150.0,5722.222222222223
arnavutkoy,1000000,200.0,0,5,11,51,1,180.0,0.9,5000.0,5555.555555555556
arnavutkoy,506000,100.0,5,5,4,39,1,90.0,0.9,5060.0,5622.222222222223
arnavutkoy,660000,90.0,5,4,4,0,1,80.0,0.8888888888888888,7333.333333333333,8250.0
arnavutkoy,1250000,260.0,0,5,15,51,1,250.0,0.9615384615384616,4807.692307692308,5000.0
arnavutkoy,420000,100.0,0,5,4,40,1,90.0,0.9,4200.0,4666.666666666667
arnavutkoy,765000,180.0,0,2,10,12,1,165.0,0.9166666666666666,4250.0,4636.363636363636
arnavutkoy,765000,180.0,0,2,10,12,1,165.0,0.9166666666666666,4250.0,4636.363636363636
arnavutkoy,480000,85.0,3,4,1,50,1,70.0,0.8235294117647058,5647.058823529412,6857.142857142857
arnavutkoy,715000,105.0,4,4,4,12,1,100.0,0.9523809523809523,6809.523809523809,7150.0
arnavutkoy,850000,160.0,0,5,8,34,1,150.0,0.9375,5312.5,5666.666666666667
arnavutkoy,1150000,225.0,5,5,11,51,1,200.0,0.8888888888888888,5111.111111111111,5750.0
arnavutkoy,660000,105.0,5,5,4,34,1,95.0,0.9047619047619048,6285.714285714285,6947.368421052632
arnavutkoy,740000,100.0,0,5,4,12,1,85.0,0.85,7400.0,8705.882352941177
arnavutkoy,625000,100.0,0,4,4,41,1,90.0,0.9,6250.0,6944.444444444444
arnavutkoy,800000,160.0,0,5,8,34,1,150.0,0.9375,5000.0,5333.333333333333
arnavutkoy,590000,95.0,0,5,4,12,1,85.0,0.8947368421052632,6210.526315789473,6941.176470588235
arnavutkoy,650000,95.0,0,4,4,12,1,85.0,0.8947368421052632,6842.105263157895,7647.058823529412
arnavutkoy,850000,90.0,5,6,4,39,1,1.0,0.011111111111111112,9444.444444444445,850000.0
arnavutkoy,420000,100.0,0,4,4,40,1,90.0,0.9,4200.0,4666.666666666667
arnavutkoy,735000,100.0,0,5,4,0,1,95.0,0.95,7350.0,7736.8421052631575
arnavutkoy,1150000,220.0,0,5,11,34,1,195.0,0.8863636363636364,5227.272727272727,5897.4358974358975
arnavutkoy,1000000,190.0,3,5,11,52,1,160.0,0.8421052631578947,5263.1578947368425,6250.0
arnavutkoy,720000,100.0,0,5,4,0,1,95.0,0.95,7200.0,7578.9473684210525
arnavutkoy,570000,85.0,5,4,4,50,1,70.0,0.8235294117647058,6705.882352941177,8142.857142857143
arnavutkoy,1250000,260.0,0,4,19,33,1,250.0,0.9615384615384616,4807.692307692308,5000.0
arnavutkoy,870000,170.0,0,4,8,33,1,150.0,0.8823529411764706,5117.64705882353,5800.0
arnavutkoy,675000,95.0,1,4,4,0,1,84.0,0.8842105263157894,7105.263157894737,8035.714285714285
arnavutkoy,555000,90.0,0,4,4,12,1,85.0,0.9444444444444444,6166.666666666667,6529.411764705882
arnavutkoy,950000,140.0,0,4,7,33,1,130.0,0.9285714285714286,6785.714285714285,7307.692307692308
arnavutkoy,900000,140.0,0,3,7,24,1,130.0,0.9285714285714286,6428.571428571428,6923.076923076923
arnavutkoy,570000,105.0,0,4,4,50,1,90.0,0.8571428571428571,5428.571428571428,6333.333333333333
arnavutkoy,395000,95.0,4,4,4,40,1,85.0,0.8947368421052632,4157.894736842105,4647.058823529412
arnavutkoy,995000,185.0,3,3,11,24,1,170.0,0.918918918918919,5378.378378378378,5852.941176470588
arnavutkoy,835000,210.0,0,4,11,51,1,180.0,0.8571428571428571,3976.190476190476,4638.888888888889
arnavutkoy,645000,125.0,5,4,4,12,1,110.0,0.88,5160.0,5863.636363636364
arnavutkoy,450000,100.0,0,5,4,34,1,95.0,0.95,4500.0,4736.8421052631575
arnavutkoy,995000,200.0,0,4,11,33,1,180.0,0.9,4975.0,5527.777777777777
arnavutkoy,585000,120.0,0,4,7,50,1,110.0,0.9166666666666666,4875.0,5318.181818181818
arnavutkoy,940000,95.0,11,14,4,12,1,73.0,0.7684210526315789,9894.736842105263,12876.712328767124
arnavutkoy,520000,55.0,1,4,1,50,1,45.0,0.8181818181818182,9454.545454545454,11555.555555555555
arnavutkoy,700000,90.0,4,6,4,12,2,80.0,0.8888888888888888,7777.777777777777,8750.0
arnavutkoy,890000,85.0,0,5,4,12,1,80.0,0.9411764705882353,10470.588235294117,11125.0
arnavutkoy,1275000,175.0,0,5,8,34,1,160.0,0.9142857142857143,7285.714285714285,7968.75
arnavutkoy,420000,70.0,5,5,1,12,1,65.0,0.9285714285714286,6000.0,6461.538461538462
arnavutkoy,1100000,120.0,5,1,7,40,1,110.0,0.9166666666666666,9166.666666666666,10000.0
arnavutkoy,725000,105.0,5,5,4,12,1,90.0,0.8571428571428571,6904.761904761905,8055.555555555556
arnavutkoy,875000,115.0,0,5,7,12,1,105.0,0.9130434782608695,7608.695652173913,8333.333333333334
arnavutkoy,875000,115.0,0,5,7,0,1,105.0,0.9130434782608695,7608.695652173913,8333.333333333334
arnavutkoy,950000,95.0,11,11,4,36,1,73.0,0.7684210526315789,10000.0,13013.698630136987
arnavutkoy,525000,95.0,4,4,4,50,1,90.0,0.9473684210526315,5526.315789473684,5833.333333333333
arnavutkoy,429000,105.0,5,6,4,52,1,100.0,0.9523809523809523,4085.714285714286,4290.0
arnavutkoy,555000,130.0,11,6,7,43,1,120.0,0.9230769230769231,4269.2307692307695,4625.0
arnavutkoy,1200000,200.0,0,4,11,39,1,190.0,0.95,6000.0,6315.789473684211
arnavutkoy,870000,140.0,0,4,7,12,1,130.0,0.9285714285714286,6214.285714285715,6692.307692307692
arnavutkoy,619000,100.0,0,5,4,0,1,90.0,0.9,6190.0,6877.777777777777
arnavutkoy,1350000,250.0,0,5,19,33,1,230.0,0.92,5400.0,5869.565217391304
arnavutkoy,550000,115.0,5,7,7,40,1,100.0,0.8695652173913043,4782.608695652174,5500.0
